[ 2023-07-26 13:32:43,484 ] Using spritesheet cache size of 910
[ 2023-07-26 13:32:46,030 ] Asset loading complete
[ 2023-07-26 13:33:14,833 ] BattlEye: "Initialized (v1.249)"
[ 2023-07-26 13:33:14,833 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-26 13:33:14,833 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-26 13:33:14,833 ] BattlEye: "Config entry: GameID tibia"
[ 2023-07-26 13:33:14,833 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-07-26 13:33:14,865 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:33:14,868 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:18,985 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:19,985 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:24,085 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:24,089 ] Disconnected from gameserver
[ 2023-07-26 13:33:25,271 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:33:25,285 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:29,385 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:30,385 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:34,485 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:34,488 ] Disconnected from gameserver
[ 2023-07-26 13:33:35,613 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:33:35,615 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:39,735 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:40,735 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:44,835 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:44,837 ] Disconnected from gameserver
[ 2023-07-26 13:33:45,955 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:33:45,956 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:46,932 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:33:50,086 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:51,085 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:55,185 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:33:55,188 ] Disconnected from gameserver
[ 2023-07-26 13:33:57,405 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Beezow Zopittybop Bop" )
[ 2023-07-26 13:33:57,406 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:33:58,385 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
[ 2023-07-26 13:34:01,535 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:34:02,535 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"
[ 2023-07-26 13:34:06,635 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mehra"  was disconnected ( "Connection refused" )
[ 2023-07-26 13:34:06,637 ] Disconnected from gameserver
[ 2023-07-26 13:35:52,863 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://85.224.108.242/api/v1/login") ) due to too many retries.
